"","id","Dato","Vannstand"
"1",1,2020-03-29 14:00:00,1.182
"2",2,2020-03-29 14:30:00,1.186
"3",3,2020-03-29 15:00:00,1.187
"4",4,2020-03-29 15:30:00,1.189
"5",5,2020-03-29 16:00:00,1.193
"6",6,2020-03-29 16:30:00,1.196
"7",7,2020-03-29 17:00:00,1.199
"8",8,2020-03-29 17:30:00,1.203
"9",9,2020-03-29 18:00:00,1.205
"10",10,2020-03-29 18:30:00,1.207
"11",11,2020-03-29 19:00:00,1.209
"12",12,2020-03-29 19:30:00,1.214
"13",13,2020-03-29 20:00:00,1.215
"14",14,2020-03-29 20:30:00,1.219
"15",15,2020-03-29 21:00:00,1.22
"16",16,2020-03-29 21:30:00,1.219
"17",17,2020-03-29 22:00:00,1.221
"18",18,2020-03-29 22:30:00,1.222
"19",19,2020-03-29 23:00:00,1.223
"20",20,2020-03-29 23:30:00,1.222
"21",21,2020-03-30 00:00:00,1.221
"22",22,2020-03-30 00:30:00,1.222
"23",23,2020-03-30 01:00:00,1.223
"24",24,2020-03-30 01:30:00,1.221
"25",25,2020-03-30 02:00:00,1.221
"26",26,2020-03-30 02:30:00,1.221
"27",27,2020-03-30 03:00:00,1.224
"28",28,2020-03-30 03:30:00,1.223
"29",29,2020-03-30 04:00:00,1.224
"30",30,2020-03-30 04:30:00,1.224
"31",31,2020-03-30 05:00:00,1.223
"32",32,2020-03-30 05:30:00,1.223
"33",33,2020-03-30 06:00:00,1.221
"34",34,2020-03-30 06:30:00,1.224
"35",35,2020-03-30 07:00:00,1.222
"36",36,2020-03-30 07:30:00,1.222
"37",37,2020-03-30 08:00:00,1.223
"38",38,2020-03-30 08:30:00,1.222
"39",39,2020-03-30 09:00:00,1.222
"40",40,2020-03-30 09:30:00,1.222
"41",41,2020-03-30 10:00:00,1.219
"42",42,2020-03-30 10:30:00,1.219
"43",43,2020-03-30 11:00:00,1.223
"44",44,2020-03-30 11:30:00,1.226
"45",45,2020-03-30 12:00:00,1.226
"46",46,2020-03-30 12:30:00,1.231
"47",47,2020-03-30 13:00:00,1.234
"48",48,2020-03-30 13:30:00,1.239
"49",49,2020-03-30 14:00:00,1.241
"50",50,2020-03-30 14:30:00,1.246
"51",51,2020-03-30 15:00:00,1.25
